username;Sentiment;content
FPD_DPR;Negatif;demokrat sentil adian pdip soal harga bbm  cara berpikirnya tidak nkri 
kompascom;Netral;hasil survei menunjukkan harga bbm menyumbangkan inflasi juli      terbesar  yakni      persen secara bulanan  month to month mtm   
infoka_id;Negatif;demo kenaikan harga bbm  mahasiswa kembali kepung gedung dprd indramayu 
buahsatan;Netral;orang  lagi protes kenaikan harga bbm lo malah nyaru nyari sensasi woi bjorka  
WarasWareg;Negatif; melempem lg  harga bbm dinaikkan  bumn minta subsudi negara  subsidi rkyt dinaikkan  gaji pegawai bumn mau dinaikkan   gaji umk dilarang naik  
Andiriego_;Positif;ketua mpr ri  meminta agar pencairan bansos segera bisa di berikan agar masyarakat kecil bisa secepatnya terbantu  mencegah penurunan daya beli di masyarakat efek dari penyesuaian harga bbm subsidi    bansosharus tepatsasaran 
chinta_chintata;Positif;di tengah peningkatan harga bahan bakar minyak  bbm   pemerintah sudah menyediakan tambahan bantuan sosial sebesar rp       triliun    harapannya  ini bisa menjaga daya beli masyarakat di tengah peningkatan harga    bansosharus tepatsasaran 
Revenge00810455;Positif;puan berharap agar bantuan langsung tunai  blt  yang diberikan pemerintah imbas dari kenaikan harga bbm dapat tepat sasaran  ia juga meminta kementerian terkait untuk mampu mengawasi dengan ketat dalam penyaluran bantuan tersebut    bansosharus tepatsasaran 
AlshaibaShihab;Positif; bansosharus tepatsasaran  ketua dpr puan maharani menilai subsidi hrs cepat diberikan agar tdk terjadi perlambatan konsumsi masyarakat  tp pengalihan subsidi hrs tepat sasaran krn kenaikan harga bbm berpotensi menaikkan harga komoditas brg lain  
BEM_Udayana;Negatif; seruan mimbar bebas   menilik kembali keadaan indonesia belakangan ini  terdapat sekali permasalahan yang sangat meresahkan masyarakat baik secara langsung maupun tidak langsung  isu yang berdampak langsung seperti kenaikan harga bbm yang membuat banyak masyarakat tercekik 
Ranisor;Netral;pengalihan subsidi harus tepat  sasaran  mengingat kenaikan harga bbm berdampak langsupada kenaikan transportasi dan  berpotensi  menaikkan harga komoditas barang lain  bansos untuk rakyat kecil harus  segera dicairkan    bansosharus tepatsasaran 
Thavit_Amoura;Netral;terima aspirasi penolakan kenaikan harga bbm dari buruh  dprd diy langsung surati presiden         
Youkari04;Negatif;dulu ada yang bilang bahwa kenaikan harga bbm adalah pil pahit bagi rakyat indonesia  sekarang malah malah pasang badan mendukung kenaikan harga bbm  vangke     
RNugra2;Negatif;waduh mbieb  rada berabe nih  masala waktunya demo pasti lama  demo turunkan harga bbm  poin    sudah seminggu blom klar gk tau kapan klarnya  ditambah turunkan harga  yang lain  poin     bisa sampai akhir tahun nih demo  tapi asyik juga taun baruhan dirayain pake demo  ajjiib  
bbuingKstuff;Netral;ready tshixoxo grade b harga spesial   rb  desain sama seperti xoxo grade a  hanya kualitas beda  sablon dan bahan  minat  sms ke cp
Bunga_Que;Negatif;anggota dpr bernyanyi gembira didalam gedung parlemen  sementara diluaran mahasiswa sedang berdemonstrasi menolak kebijakan pemerintah menaikkan harga bbm   masih pantaskah mereka kita panggil wakil rakyat    
kompascom;Negatif;menyusul naiknya harga bbm  tarif ojek  online  pun akhirnya terkerek yang mulai berlaku    september       
Andiriego_;Positif; dukung penyesuaian harga bbm  bansosharus tepatsasaran
Daniekzh;Negatif;harga bbm naik  harga tiket kapal pun ikut naik  crying face 
HdSarira;Positif;setuju kami di daerah pedalaman kalimantan timur aja  yg kalau bbm gak sempat ke spbu krn jauh kami beli dg harga termurah       sampai       gak ribut tuh 
Thavit_Amoura;Negatif;merespons penolakan organda terhadap program konpensasi kenaikan harga bbm         
kurakurahias;Positif; harga wajar kok  kan bbm mahal nder
Andiriego_;Positif; nah arab aja naikin harga bbm  bansosharus tepatsasaran
0xlanax7n;Negatif; ego nya tinggi banget ya ini orang  ngalahin tinggi nya harga bbm saat ini  
SuciRanii;Positif;penyesuaian harga bbm bersubsidi diperlukan untuk  menyelematkan apbn dan pengalihan subsidi untuk rakyat bawah   
SuciRanii;Positif;penyesuaian harga bbm bersubsidi diperlukan untuk  menyelematkan apbn dan pengalihan subsidi untuk rakyat bawah   
April20220101;Negatif;  iya  yaa  pak  padahal ga usah demo  biarin aja mau ada rezim bobrok kek  mau bbm naek sampe bengek kek  mau harga harga melejit ga ngotak kek  mau ada periode ketiga kek  yaudah biarin aja  yaa kan  pak  biarin ajaa  daripada demo susah susah  biarin aja rakyat mah 
SuciRanii;Positif;penyesuaian harga bbm bersubsidi diperlukan untuk  menyelematkan apbn dan pengalihan subsidi untuk rakyat bawah   
SPN_OR_ID;Negatif;aliansi buruh pangkal perjuangan karawang tolak kenaikan harga bbm 
Ardhy663;Negatif;kalau begitu napa nggak dirobah aturannya   sebab aturan yang lain gampang merobahnya seperti kenaikan harga bbm 
ghagus5;Negitif; next sebagai support kpd rekan rekan demonstran yg memperjuangkan penururan harga bbm bjorka akan buka bukaan dgn pertamina
SuciRanii;Positif;penyesuaian harga bbm bersubsidi diperlukan untuk  menyelematkan apbn dan pengalihan subsidi untuk rakyat bawah   
SuciRanii;Positif;penyesuaian harga bbm bersubsidi diperlukan untuk  menyelematkan apbn dan pengalihan subsidi untuk rakyat bawah   
adhibroke;Netral; harga bbm kah 
FitriNursovia;Netral;alasan adanya penyesuaian harga bbm 
FitriNursovia;Positif;penyesuaian harga bbm jadi momentum alihkan apbn dan maksimalkan ebt 
FitriNursovia;negatif;penjelasan menteri esdm terkait penyesuaian harga bbm 
Azkia2020;Negatif; pdip kmna ga ikutan menolak ya dlu jaman sby rajin demo pake atribut partai ke jalan tolak kenaikan bbm dn lain  grinning face  skrng dah berkuasa malah melebihi jaman sby menaikan harga bbm nya dn sering sekali sy itu
bangSaid_;Negatif;turunkan harga bbm turunkan harga barang tegakkan hukum      masa depan agama  bangsa  amp  negara ada di tangan mu  
goziafdoli1;Positif;umr jogja udah naik gak   mengikuti harga bbm yg naik   
galerifitri;Positif;arab saudi juga naikkin harga bbm   bansosharus tepatsasaran 
pranayoga168;Negatif;  harga minyak dunia turun wooii  kenapa bbm pertamina gak turun  biar untung nya banyak sehingga pertamina mendapat keuntungan banyak   nilai plus buat hasil kerja ahok   tinggal tunggu media  membuat berita kehebatan ahok membuat pertamina untung banyak  rolling on the floor laughing  rolling on the floor laughing  rolling on the floor laughing  rolling on the floor laughing 
Thavit_Amoura;Negatif;mahasiswa demo tolak kenaikan harga bbm di dprd jabar         
Ibnu_Sab1l;Negatif;kenapa sih gak sekalian protes ama pemerjntah  baekin bbm semena  sama orang punya kendaraan aja    kami pejalan kaki jadinya harga sendal sama telor ceplok jadi naek  diskriminasi sekali  
Rm_lndr4one4587;Positif; pemerintah cuma naikkan harga smua jenis bbm ja  org  pd ngomel dan protes  klo pemerintah sdh buat uu tentang sanksi hukum pemilik pengguna mobil produksi thn  gt       dan kapasitas mesin  gt      cc yg beli bbm bersubsidi  mngkin sdh kacau tiap hari demo kek org kesurupan
Sumari59;Positif;sumari minta di kembalikan dana  subsidi blt dampak kenaikan harga bbm september       sebagai motivasi kehidupan dalam ber negara dalam setiap tahun di ketahui jumlah independent nominal dana khas negara
Bunga_Que;Negatif;bupati garut dan dprd terima audiensi penolakan harga bbm        
Dpr_Printing;Netral;mug dengan desain sesukamu pokoknya  harga terjangkau order just call me at              pin bbm          yusuf mansyur  
Bayaz15Yildirim;Negatif;giliran  ulama tegal pantura menolak harga bbm naik 
Anggita_lung;Positif; nahh arab saudi pun pun menaikkan harga bbm   bansosharus tepatsasaran
Rusdian10599719;Positif;kok nggak ngerti  khan mbak puan bilang kenaikan harga bbm demi kesejahteraan masyarakat  
galerifitri;Positif;yg menaikkan harga bbm bukan hanya indonesia    bansosharus tepatsasaran 
Azkia2020;Negatif;  kembali kejaman sby ajah dlu pdip sering demo tolak kenaikan bbm pajak listrik utang luar negri sampe bu puan nangis  di gedung dpr mengaku partai wong cilik ikut menolak keputusan pemerintah tpi skrng krmana pdip ko ga demo lgi padahal kenaikan harga bbm dn lain  lebih parah
SINDOnews;Positif;harga bbm naik tinggi  anies tambah subsidi transjakarta rp     miliar     
irfanwahidi60;Netral; mungkin karena fee import  nyatut harga  bbm nya ke gedean   folded hands 
roseuune;Positif;suka tidak suka   mau tdk mau kebijakan penyesuaian harga bbm bersubsidi harus bisa dipahami dengan baik   penyesuaian harga minyak merupakan fenomena global    bansosharus tepatsasaran 
galerifitri;Positif;yes bukan hanya indonesia yg menaikkan harga bbm    bansosharus tepatsasaran 
roseuune;Positif;pengalihan subsidi bbm harus tepat sasaran mengingat kenaikan harga bbm berdampak langsung pada kenaikan transportasi dan berpotensi menaikan harga komoditas   bansosharus tepatsasaran 
abu_waras;Positif;parah   meski harga bbm dinaikan presiden jokowi secara ugal ugalan  anak buah anies  tidak akan menaikan tarif transportasi jaklingko  netizen  anies memang cocoknya jadi presiden  bukan jadi gubernur lagi  
galerifitri;Positif;bahkan arab saudi sdh menaikkan harga bbm   bansosharus tepatsasaran 
alhikam53475871;Negatif; semoga acaranya lancar  amp  sukses  rakyat merasakan skl keberatan dgn harga  yg naik  kecuali buzzerp   pemerintah negara tetangga bisa menurunkan harga bbm  knapa disini malah naik  dpr kita kebanyakan oknum  sdh tdk bisa lagi menyuarakan kepentingan rakyat  
Sumari59;Netral;sumari september      harga bbm naik  pemerintah akan segera membangun jembatan penghubung ri malasyia sepanjang    km
keplak_n;Netral;spt gambar dimasa yg gak terlalu lama tiap rumah mampu membuat tenaga listrik mandiri ilustrasi adlh powerplant tenaga matahari pak elon musk sdh mulai membesut produknya yg spt  klo ini terlaksana gak perlu terkaget  dng harga bbm  
fayuwandha;Negatif;harga bbm  chart increasing  up arrow  hukuman koruptor  chart decreasing  down arrow      keadilan sosial bagi  seluruh  rakyat  indonesia     s amp k berlaku
WongNdesaSugih;Negatif;  tukang mulung barang bekas koq disuruh ngitung harga bbm ancur  rolling on the floor laughing  rolling on the floor laughing  rolling on the floor laughing 
MediaKomando;Negatif;tolak kenaikan harga bbm  fpi  pa      dan gnpf ulama kompak tuntut presiden mundur 
rasa2086;Positif;subsidi perlu cepat diberikan agar tidak terjadi perlambatan konsumsi masyarakat  pengalihan subsidi harus tepat sasaran mengingat kenaikan harga bbm berdampak langsung pada kenaikan biaya transportasi dan berpotensi naiknya harga    bansosharus tepatsasaran 
galerifitri;Positif;ekonom senior  faisal basri mengatakan bahwa kebijakan penyesuaian harga bbm bersubsidi  meski pahit hrs dipahami dg baik  krn hampir semua negara termasuk produsen besar spt arab saudi sdh menaikkan harga bbm    bansosharus tepatsasaran 
Akomeng6;Positif;nahkan  di arab bbm sudah naik apa kadrun juga mau demo kesana  rolling on the floor laughing  ingat ya drun kata bang faisal basri meski pahit  kebijakan penyesuaian harga bbm bersubsidi harus bisa dipahami    bansosharus tepatsasaran 
Torrez_20_06;Positif;harga bbm di indonesia saat ini masih lebih murah dibandingkan arab saudi    langkah pemerintah untuk menaikkan harga sembari memberikan tambahan bantuan sosial sudah tepat    bansosharus tepatsasaran 
Ranisor;Positif;kebijakan penyesuaian harga bbm bersubsidi harus bisa  dipahami dengan baik  penyesuaian harga merupakan  fenomena global  hampir semua negara termasuk  penghasil minyak besar  arab saudi menaikkan harga    bansosharus tepatsasaran 
forjakeu;Positif;subsidi perlu cepat diberikan agar tidak terjadi perlambatan konsumsi masyarakat  pengalihan subsidi harus tepat sasaran mengingat kenaikan harga bbm berdampak langsung pada kenaikan biaya transportasi dan berpotensi naiknya harga    bansosharus tepatsasaran 
chinta_chintata;Positif;arab saudi sudah terlebih dahulu menaikkan harga bbm  faisal basri menilai  kebijakan penyesuaian harga bbm merupakan fenomena global yg hrs ditempuh hampir semua negara  termasuk negara produsen besar minyak seperti arab saudi     bansosharus tepatsasaran 
Revenge00810455;Positif; meski pahit  kebijakan penyesuaian harga bbm bersubsidi harus bisa dipahami dengan baik   kata ekonom faisal basri dalam keterangan di jakarta  selasa                 bansosharus tepatsasaran 
Andiriego_;Negatif;setuju sama faisal basri  kebijakan penyesuian harga bbm mau tidak mau harus dilakukan  semua negara mengalami arab saja yg raja minyak naikkan harga bbm nya   bansosharus tepatsasaran 
detikfinance;Negatif;kenaikan tarif ojek online  ojol  mulai berlaku hari ini  kementerian perhubungan menaikkan tarif ojol seiring kenaikan harga bahan bakar minyak  bbm   
Thavit_Amoura;Negatif;enam orang ditangkap ketika melakukan demo menolak kenaikan harga bbm         
Youkari04;Negatif;penolakan kenaikan harga bbm makin menguat       
sossisagaya;Negatif;ya  kammi kan onderbouw pks  fraksi yang menolak kenaikan harga bbm  biasanya sih apa yang ditolak pks  kebijakan itu udah benar  misalnya  kasus ruu kekerasan seksual    by the way akhi  kader kammi boleh masuk gelora nggak  atau wajib masuk pks  
HumasresBatang6;Positif;kapolres batang akbp m  irwan susanto  s i k   s h   m h  dan anggota polres batang beserta mahasiswa undip dan iain melaksanakan bakti sosial berupa pembagian sembako kepada masyarakat kab  batang yang terdampak  kenaikan harga bbm bersubsidi 
ngeruh_aek;Positif; ya ini momentai utk gabenar edy  biar dapat dukungan  politik mah ga heran  biasa saja harga bbm  belasan ribu aja kita ga protes di kampung tp kita imbangi dgn kerja dan kerja di kota malah keliatan hobi  sx demo an  apa efek depresi berjemaahya  grinning face 
a_andhira;Negatif;  klo dikomen gitu jawabnya rokok   bungkus ga mempengaruhi kenaeakan harga  laen  beda dg harga bbm naek     harga laennya bakalan ikut naek  beaming face with smiling eyes 
SayatiUmmi;Negatif;  ya betuul yaitu buzzer pki yg bergedok agama otak tikus dan bermulut babik rolling on the floor laughing  rolling on the floor laughing  rolling on the floor laughing  hati  dan waspada  gara  itu harga bbm naik  dan kasus sambo masih mangkrak  dasar pemimpin tak beccus dan bodoh  kalau gak sanggup biar q ja yg ganti pemimpinx meskipun bodoh tapi jujur rolling on the floor laughing  rolling on the floor laughing  rolling on the floor laughing  
Bunga_Que;Negatif;pks dan partai demokrat tolak kenaikan harga bbm bersubsidi        
KompasEkonomi;Negatif;harga bbm naik  bi perkirakan inflasi september      capai      persen 
bm_ismail;Negatif;  pertanyaan itu semestinya ditujukan kepada pemerintah yg menaikkan harga bbm  apakah mereka sudah pikirkan semua itu sebelum buat keputusan  dan jika nantinya mereka menurunkan harga itu lagi apakah harga  lain juga bisa mereka turunkan lagi  pemerintah harus mikir komprehensif 
DtnIrayu;Negatif;harga bbm naik  mending turu  sleepy face  ga usah healing healing an  healinge turu ae  thumbs up  yawning face  sleeping face  
burningred30;Negatif;belum nyoba makan di luar semenjak bbm naik  apakah harga ayam bebek lamongan naek juga 
Zyanpatra;Negatif;buruh menuntut penurunan harga bbm  jika tak didengar bakal mogok nasional 
wownaga_gg;Negatif;  memang bbm tidak naik  tapi ganti harga
polresbontang;Positif;bertajuk polres bontang peduli masyarakat yang terdampak penyesuaian harga bbm  kapolres membagikan ratusan sembako kepada sopir ojol  sopir angkot dan penjual pentol keliling menggunakan kendaraan bermotor      
jawillzam;Positif; setelah sukses  misi menaikan harga bbm
liputan6dotcom;Positif;sasaran lebih jelas  blt bbm diprediksi bakal efektif bantu masyarakat  pemerintah perlu mengawasi harga pangan dan yang lebih krusial memastikan ketersediaan barang  sebab  apabila barang tidak tersedia  harga cenderung lebih mudah naik  
aurorawilly0;Netral; bbm pertamina satu harga seluruh indonesia  vivo bisa menjual harga minyak di bawah pertamina  sementara umr berbeda beda  ada sesuatu kurang berkeadilan 
WPurwata;Negatif;  pantesan harga bbm di naikin tujuannya bukan untuk blt tapi untuk kenaikan gaji orang bumn toh  apakah rakyat akan percaya dg jokowi  tukang ngibul
Thavit_Amoura;Negatif;gelombang penolakan kenaikan harga bbm subsidi         
BalvyHaddad;Negatif; video  gnpr dan ormas islam hari senin    september      akan geruduk istana negara tolak kenaikan harga bbm    
keuangannews_id;Negatif;naikkan bbm ketika harga minyak dunia turun  djoko edhi  rezim biadab dan memeras rakyat  
dharmatsurayya;Negatif;tolak kenaikan harga bbm  aliansi buruh bekasi melawan rencanakan unjuk rasa    september  
kawanmuda;Positif;aku setuju setuju aja kok kalo harga bbm makin mahal asalkan senyum kamu tetep murah sama aku  
hajinewsonline;Negatif;imbas harga bbm naik sejumlah nelayan memilih tak melaut 
PtkDaeng;Positif;puan  kenaikan harga bbm demi kesejahteraan oligarki 
AnidraAyt;Negatif;pemerintah diminta turunkan harga bbm ketimbang bangun ikn       
media_teknik;Negatif; elo yg ngatain bangsat sama mahasiswa elu yg  tolol   yg di bela elu kita semua supaya harga harga terjangkau   ketimbang muter dikit lu udah ngeluh coba lu pikir akibat kenaikan bbm yg ngga kira kira efeknya buat ekonomi rakyat   hidup makin susah   jadi jangan asal bacot
doirx;Negatif;  ngga perlu paham my peetamina  yg penting ikut merasakan susahnya orang  miskin akibat kenaikan bbm yg berimbas naiknya harga sembako
VynDanilo;Positif;penurunan akibat kenaikan harga bbm akan terbantu dengan bansosharus tepatsasaran    
rizki_ariesa;Negatif; oh kirain malah turunin harga bbm krn harga minyak global anjlok
pks_medansatria;Negatif;langit  hujan deras turun ke bumi harga bbm bisa turun juga gak  please    
sumsel24;Negatif;tegas  demokrat lubuklinggau menolak kenaikan harga bbm  dpc partai demokrat lubuklinggau dengan tegas menolak kenaikan harga bbm bersubsidi  karena akan memberatkan rakyat  
Lunmaria90Maria;Positif;ketua ma kabupaten tamian saja mendukung peralihan subsidi bbm untuk menstabilkan apbn kita harusnya  dalam penyesuaian harga bbm sebab pemerintah sudah memperhutungkannya dan pengalihan subsidi tepat  sasaran dari pemerintah 
ZenFahrudin;Positif;langkah pemberian bansosharus tepatsasaran akan lebih berguna bagi masyarakat miskin yang terdampak kenaikan harga bbm   
fortuna_42;Positif;sudah banyak negara menaikan harga bbm bersubsidi di negara nya  bansosharus tepatsasaran 
FensiWen;Positif;pendapat dari ekonom senior tuch soal kenaikan harga bbm naik itu tidak hanya di indonesia saja lhoo gaess namun arab sauudi tuch sudah lebih dulu menaikkan harga bbm nya   bansosharus tepatsasaran 
tvOneNews;Negatif;arlin  kenaikan harga dipengaruhi banyak faktor  termasuk dampak dari kenaikan bbm 
RamaIzzatin;Positif;penurunan daya beli menjadi pasti ditengah naiknya harga bbm tapi dengan bansosharus tepatsasaran diharapkan ritme ekonomi bawah tetap berjalan   
julangjaya;Positif;kenaikan harga bbm bersubsidi telah terjadi di banyak negara saat ini  bansosharus tepatsasaran 
RadjaLbs;Positif;arab saudi lebih dulu naikkan  harga bbm  bansosharus tepatsasaran 
diandraw_;Positif;arab saudi sudah terlebih dulu loh menaikkan harga bbm  bansosharus tepatsasaran 
Chalatea1;Positif;arab saudi aja menaikkan harga bbm  bansosharus tepatsasaran 
Nmask11;Positif;nah kan  ternyata arab saudi terlebih dahulu menaikkan harga bbm    bansosharus tepatsasaran 
initannia;Positif;semoga penyesuaian harga bbm ini berjalan lancar kedepannya   bansosharus tepatsasaran 
kamusiapasih_;Negatif;konsumsi masyarakat tentu akan terimbas dengan adanya berbagai peningkatan harga pangan dan kebutuhan pokok lainnya akibat kenaikan harga bbm   bansosharus tepatsasaran 
wafewrr;Netral;tidak hanya kita yang menaikkan harga bbm ini   bansosharus tepatsasaran 
AzrilMae;Positif;ekonom senior faisal basri menilai kebijakan pemerintah menaikkan harga bbm bersubsidi harus bisa dipahami dengan baik  menurutnya  penyesuaian harga minyak merupakan fenomena global    bansosharus tepatsasaran  
MamaheSyakila;Positif;dalam diskusi bertajuk  subsidi untuk siapa  menelaah efektivitas penggunaan uang rakyat   faisal menjabarkan hampir semua negara  termasuk produsen besar sprt arab saudi  sudah menaikkan harga bbm    bansosharus tepatsasaran  
Bg_Vigor;Positif;tau kan kalo hampir semua negara didunia melakukan penyesuaian harga bbm     bansosharus tepatsasaran 
Lamasoki04;Positif;dampak naiknya harga bbm  bansos untuk rakyat kecil harus segera dicairkan   bansosharus tepatsasaran 
Husniatun5;Positif;harga bbm di indonesia saat ini masih lebih murah dibandingkan arab saudi   bansosharus tepatsasaran 
UnyiLKucink;Positif; bansosharus tepatsasaran ternyata arab saudi lebih dulu naikan harga bbm dari pada indonesia  
Xander_Foto;Positif;walau pahit  keputusan mengalihkan subsidi bbm harus dilakukan pemerintah guna menyesuaikan dg harga minyak global  bansosharus tepatsasaran    
Lhia_Potu;Positif;arab saudi yg konon ladang minyak terbesar pun terleih dahulu menaikan harga bbm    bansosharus tepatsasaran 
choumanga;Positif; folded hands  folded hands  hampir semua negara  termasuk produsen besar seperti arab saudi  sudah menaikkan harga bbm   bansosharus tepatsasaran 
Rii1naa;Positif;bantalan sosial rp    triliun akan diberikan sebagai dampak kenaikan harga bbm bila bansos tidak segera dicairkan  dikhawatirkan akan terjadi perlambatan konsumsi masyarakat 
jodhitt;Positif;mengingat kenaikan harga bbm berdampak langsung pada kenaikan biaya transportasi dan berpotensi menaikkan harga komoditas barang lain  bansos untuk rakyat kecil harus segera dicairkan   bansosharus tepatsasaran 
